Job Title,Core Skills,Tools & Platforms
AI Engineer,"Machine Learning, Deep Learning, NLP, Model Deployment, Python Programming","TensorFlow, PyTorch, Hugging Face, AWS/Azure, Docker"
Machine Learning Engineer,"Model Building, Feature Engineering, ML Pipeline Development, Optimization","TensorFlow, PyTorch, scikit-learn, Docker, AWS/GCP"
Data Scientist,"Statistical Modeling, Machine Learning, Data Wrangling, Predictive Analytics","Python, R Programming, Jupyter, SQL, scikit-learn, Pandas, NumPy"
NLP Engineer,"Natural Language Processing, Text Mining, Language Modeling, Tokenization","spaCy, NLTK, Hugging Face Transformers, Python, PyTorch"
Computer Vision Engineer,"Computer Vision, Image Processing, Object Detection, Deep Learning","OpenCV, TensorFlow, PyTorch, Python"
Data Engineer,"Data Engineering, ETL Pipeline Design, Data Warehousing, Big Data Processing","Spark, Hadoop, Kafka, Airflow, Snowflake, dbt, Databricks"
Big Data Engineer,"Distributed Computing, Large-scale Data Processing, Data Pipeline Design","Hadoop, Spark, Kafka, Cassandra, Scala"
Data Analyst,"Data Analysis, Data Cleaning, Statistical Analysis, Reporting","SQL, Excel, Power BI, Tableau, Python"
Business Intelligence Analyst,"Business Intelligence, Data Modeling, Dashboard Design, KPI Tracking","Power BI, Tableau, SQL, Excel"
Business Analyst,"Requirements Gathering, Data Analysis, Process Mapping, Stakeholder Management","Excel, SQL, Power BI, JIRA"
Product Manager,"Product Management, Roadmapping, Stakeholder Communication, Market Research","JIRA, Confluence, Figma, Analytics Tools"
Project Manager,"Project Management, Agile, Scrum, Risk Management, Stakeholder Communication","JIRA, Confluence, Microsoft Project, Trello"
Software Engineer,"Programming, Data Structures & Algorithms, Software Design, Debugging","Git, VS Code/IntelliJ, CI/CD, Cloud Platforms"
Backend Developer,"REST API Development, Database Design, Server-side Logic, Microservices","Node.js, Java, Python, PostgreSQL, MySQL, Docker, Git"
Frontend Developer,"UI Design, Responsive Design, JavaScript Frameworks, Cross-browser Compatibility","React, Angular, Vue, HTML, CSS, Tailwind, Git"
Full Stack Developer,"Frontend & Backend Development, REST API Integration, Database Management","React/Angular, Node.js/Django, MongoDB/MySQL, Docker, Git"
Java Developer,"Object-Oriented Programming, Multithreading, REST API Development, Microservices","Java, Spring, Maven/Gradle, MySQL, PostgreSQL, Git"
Python Developer,"Scripting, Web Development, Data Processing, REST API Development","Python, Django, Flask, FastAPI, PostgreSQL, Git"
.NET Developer,"Object-Oriented Programming, Web API Development, Enterprise Application Development","C#, ASP.NET, SQL Server, Visual Studio"
PHP Developer,"Web Development, Server-side Scripting, CMS Development, Database Integration","PHP, Laravel, MySQL, Git"
Ruby Developer,"Web Application Development, MVC Architecture, Rapid Prototyping","Ruby, Rails, PostgreSQL, Git"
Golang Developer,"Concurrent Programming, Microservices Development, High-performance Systems","Golang, Docker, Kubernetes, gRPC"
Scala Developer,"Functional Programming, Distributed Systems, Big Data Processing","Scala, Spark, Kafka, Akka"
iOS Developer,"Mobile App Development, UI Design, App Store Deployment","Swift, Xcode, CocoaPods"
Android Developer,"Mobile App Development, Material Design, App Lifecycle Management","Kotlin, Java, Android Studio, Gradle"
Database Administrator,"Database Design, Performance Tuning, Backup & Recovery, Security Management","MySQL, PostgreSQL, MongoDB, Redis, SQLite"
UI/UX Designer,"User Research, Wireframing, Prototyping, Visual Design, Usability Testing, UX","Figma, Photoshop, Illustrator, Adobe XD"
Graphic Designer,"Visual Design, Branding, Layout Design, Typography","Photoshop, Illustrator, Figma"
QA/Test Engineer,"Test Planning, Manual & Automation Testing, Bug Tracking, Regression Testing","Selenium, JIRA, Postman, CI/CD Tools"
DevOps Engineer,"CI/CD, Automation, Infrastructure Management, System Monitoring","Jenkins, GitHub Actions, GitLab, Docker, Kubernetes, Ansible, AWS/Azure"
Site Reliability Engineer,"System Monitoring, Incident Management, Automation, Performance Optimization","Kubernetes, Docker, Terraform, Prometheus, AWS/GCP"
Cloud Engineer,"Cloud Computing, Infrastructure as Code, Networking, Security Management","AWS, Azure, GCP, Terraform, Kubernetes, Docker"
Cloud Solutions Architect,"Cloud Architecture, System Design, Technical Leadership, Microservices","AWS, Azure, GCP, Kubernetes, Terraform"
Network Engineer,"Networking, Network Design, Routing & Switching, Troubleshooting","Cisco, Firewalls, VPN, Linux"
Cybersecurity Analyst,"Cybersecurity, Threat Detection, Vulnerability Assessment, Incident Response","SIEM (Splunk), Nessus, Wireshark, Firewalls"
Blockchain Developer,"Blockchain, Smart Contract Development, Cryptography, Decentralized Applications","Solidity, Ethereum, Web3.js"
Game Developer,"Game Logic Programming, 3D Graphics, Physics Simulation, Performance Optimization","Unity, Unreal Engine, C++, C#"
Embedded Systems Engineer,"Firmware Development, Microcontroller Programming, Real-time Systems","C, C++, RTOS, Embedded C"
IoT Engineer,"IoT, Embedded Programming, Sensor Integration, Edge Computing","MQTT, Raspberry Pi, Arduino, Python, C++"
Salesforce Developer,"CRM Customization, Apex Programming, Workflow Automation","Salesforce, Apex, Visualforce, Lightning"
Scrum Master,"Agile, Scrum, Sprint Planning, Team Facilitation, Leadership, Communication","JIRA, Confluence, Trello"
Statistician / R Developer,"R Programming, Statistical Analysis, Data Visualization, Research Methods","R, RStudio, ggplot2, Shiny"
